
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95; 2445,444; 2450,809; 2514,086;-8,47808
 196,55; 2147,422; 2155,473; 2207,978;-15,33393
 197,15; 1765,194; 1825,653; 1797,723; 0,00000
 197,76; 3186,237; 3364,879; 3360,889; 0,00000
 198,36; 1842,936; 1886,433; 1945,838;-73,22155
 198,96; 2905,369; 3138,853; 3019,463; 0,00000
 199,56; 2252,812; 2475,112; 2368,487; 0,00000
 200,16; 1890,011; 1934,011; 1881,020; 0,00000
 200,76; 1522,745; 1629,734; 1574,046; 0,00000
 201,36; 3368,493; 3644,140; 3521,958; 0,00000
 201,96; 1601,034; 1650,171; 1633,621; 0,00000
 202,56; 2240,849; 2318,435; 2251,883; 0,00000
 203,16; 2408,926; 2564,795; 2494,373; 0,00000
 203,76; 1873,284; 1954,839; 1908,750; 0,00000
 204,36; 1546,146; 1733,936; 1529,979; 0,00000
 204,96; 2248,253; 2295,244; 2327,618;-145,15392
 205,56; 1943,449; 2137,645; 2037,247; 0,00000
 206,16; 1567,521; 1616,372; 1511,511; 0,00000
 206,76; 1937,416; 2009,469; 1932,740; 0,00000
 207,36; 2728,635; 2789,130; 2790,438;-4625,48068
 207,96; 2692,958; 2751,425; 2693,363; 0,00000
 208,56; 2302,295; 2467,923; 2308,266; 0,00000
 209,16; 1864,700; 1894,205; 1953,478;-49,77604
 209,76; 1490,854; 1638,169; 1583,577; 0,00000
 210,36; 1694,289; 1838,196; 1811,003; 0,00000
 210,96; 2033,381; 2184,963; 2096,406; 0,00000
 211,56; 1999,161; 2134,099; 2082,774; 0,00000
 212,16; 4327,937; 4485,535; 4481,305; 0,00000
 212,76; 1782,849; 1873,645; 1827,247; 0,00000
 213,36; 2578,555; 2567,094; 2680,536;10,10251
 213,96; 2247,061; 2310,099; 2403,774;-67,29443
 214,56; 2012,574; 2149,512; 2055,117; 0,00000
 215,16; 1935,416; 2038,469; 2012,740; 0,00000
 215,76; 3843,818; 3965,839; 4066,750;-120,92004
 216,36; 1482,779; 1475,213; 1579,954; 7,22291
