
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95; 2454,274; 2512,211; 2381,564; 0,00000
 196,55; 2180,635; 2248,177; 2200,988; 0,00000
 197,15; 1792,288; 1889,168; 1723,878; 0,00000
 197,76; 3253,133; 3337,208; 3318,423; 0,00000
 198,36; 1845,102; 1977,179; 1936,817; 0,00000
 198,96; 2924,111; 2924,209; 2952,976;-0,34032
 199,56; 2248,730; 2350,196; 2298,208; 0,00000
 200,16; 1883,045; 1989,201; 1859,660; 0,00000
 200,76; 1523,010; 1685,215; 1592,463; 0,00000
 201,36; 3383,408; 3433,245; 3529,899;-51,56254
 201,96; 1625,234; 1810,244; 1673,588; 0,00000
 202,56; 2246,057; 2387,230; 2202,061; 0,00000
 203,16; 2412,362; 2437,212; 2414,840; 0,00000
 203,76; 1899,100; 1921,209; 1961,252;-55,21534
 204,36; 1544,082; 1623,205; 1717,559;-83,85710
 204,96; 2300,842; 2441,189; 2377,444; 0,00000
 205,56; 1965,981; 2036,169; 1960,395; 0,00000
 206,16; 1606,550; 1647,182; 1588,440; 0,00000
 206,76; 1982,332; 2095,177; 1953,746; 0,00000
 207,36; 2761,245; 2848,195; 2920,173;-120,80035
 207,96; 2713,995; 2813,180; 2746,334; 0,00000
 208,56; 2267,570; 2438,205; 2464,836;-640,75341
 209,16; 1888,509; 1922,191; 1910,273; 0,00000
 209,76; 1509,179; 1522,193; 1572,344;-25,94971
 210,36; 1718,101; 1836,191; 1851,791;-757,00826
 210,96; 2037,504; 2125,203; 2118,007; 0,00000
 211,56; 2009,519; 2061,196; 1992,484; 0,00000
 212,16; 4361,288; 4457,174; 4341,365; 0,00000
 212,76; 1812,681; 1847,169; 1803,395; 0,00000
 213,36; 2557,115; 2664,197; 2460,243; 0,00000
 213,96; 2294,419; 2441,196; 2256,484; 0,00000
 214,56; 2005,069; 2139,175; 2052,159; 0,00000
 215,16; 1926,832; 2019,177; 1978,746; 0,00000
 215,76; 3899,300; 4018,209; 4042,252;-494,57250
 216,36; 1536,316; 1672,190; 1497,756; 0,00000
