
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95; 2470,653; 2512,211; 2478,307; 0,00000
 196,55; 2165,932; 2248,177; 2092,074; 0,00000
 197,15; 1784,768; 1889,168; 1952,600;-164,58610
 197,76; 3225,679; 3337,208; 3317,415; 0,00000
 198,36; 1847,248; 1977,179; 1944,763; 0,00000
 198,96; 2928,756; 2924,209; 3019,875; 4,75364
 199,56; 2244,660; 2350,196; 2275,022; 0,00000
 200,16; 1903,191; 1989,201; 2096,117;-80,44647
 200,76; 1512,806; 1685,215; 1624,943; 0,00000
 201,36; 3446,453; 3433,245; 3459,283;50,72431
 201,96; 1589,796; 1810,244; 1604,081; 0,00000
 202,56; 2254,919; 2387,230; 2371,485; 0,00000
 203,16; 2424,891; 2437,212; 2539,537;-12,04035
 203,76; 1878,495; 1921,209; 1955,104;-126,02011
 204,36; 1538,044; 1623,205; 1658,752;-239,56704
 204,96; 2277,071; 2441,189; 2334,724; 0,00000
 205,56; 1914,727; 2036,169; 2056,087;-609,70466
 206,16; 1608,763; 1647,182; 1741,169;-40,87778
 206,76; 1971,211; 2095,177; 2063,817; 0,00000
 207,36; 2790,241; 2848,195; 2791,049; 0,00000
 207,96; 2727,307; 2813,180; 2953,250;-61,30668
 208,56; 2322,783; 2438,205; 2368,982; 0,00000
 209,16; 1875,988; 1922,191; 1919,413; 0,00000
 209,76; 1471,025; 1522,193; 1556,359;-149,76098
 210,36; 1697,647; 1836,191; 1754,900; 0,00000
 210,96; 2066,266; 2125,203; 2216,293;-64,70197
 211,56; 1980,098; 2061,196; 2074,251;-621,19348
 212,16; 4341,717; 4457,174; 4516,668;-194,06613
 212,76; 1769,027; 1847,169; 1897,087;-156,53978
 213,36; 2620,878; 2664,197; 2608,995; 0,00000
 213,96; 2293,598; 2441,196; 2385,251; 0,00000
 214,56; 2039,415; 2139,175; 2136,385; 0,00000
 215,16; 1936,211; 2019,177; 2035,817;-498,60467
 215,76; 3881,695; 4018,209; 3966,104; 0,00000
 216,36; 1509,929; 1672,190; 1545,927; 0,00000
