#date: 26.11.2020	time: 19:50:14
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
1.20280E+1	1.54283E-1	2.02203E-4	1.36623E-2	1.12926E+1	2.10786E-3	6.57560E+2
1.36880E+1	1.55023E-1	2.01614E-4	1.36226E-2	1.13799E+1	2.11182E-3	6.63736E+2
1.44090E+1	1.55379E-1	2.03086E-4	1.37220E-2	1.13233E+1	2.13211E-3	6.59734E+2
1.51270E+1	1.54439E-1	2.02398E-4	1.36755E-2	1.12931E+1	2.11203E-3	6.57597E+2
1.58460E+1	1.55117E-1	2.02257E-4	1.36660E-2	1.13506E+1	2.11983E-3	6.61664E+2
1.65060E+1	1.55095E-1	2.02610E-4	1.36899E-2	1.13291E+1	2.12323E-3	6.60146E+2
1.71690E+1	1.55594E-1	2.02463E-4	1.36799E-2	1.13739E+1	2.12852E-3	6.63309E+2
1.78880E+1	1.55669E-1	2.02723E-4	1.36975E-2	1.13648E+1	2.13228E-3	6.62667E+2
1.86080E+1	1.54816E-1	2.02965E-4	1.37139E-2	1.12890E+1	2.12313E-3	6.57311E+2
1.93280E+1	1.55263E-1	2.03106E-4	1.37234E-2	1.13137E+1	2.13073E-3	6.59055E+2
2.00470E+1	1.55269E-1	2.02241E-4	1.36649E-2	1.13626E+1	2.12174E-3	6.62509E+2
2.07680E+1	1.54975E-1	2.03345E-4	1.37395E-2	1.12795E+1	2.12928E-3	6.56638E+2
2.14870E+1	1.54563E-1	2.01499E-4	1.36148E-2	1.13526E+1	2.10433E-3	6.61802E+2
2.22050E+1	1.54400E-1	2.02661E-4	1.36933E-2	1.12756E+1	2.11424E-3	6.56359E+2
2.29250E+1	1.54619E-1	2.01591E-4	1.36210E-2	1.13515E+1	2.10606E-3	6.61726E+2
2.36450E+1	1.54940E-1	2.04565E-4	1.38220E-2	1.12097E+1	2.14157E-3	6.51702E+2
2.43680E+1	1.55143E-1	2.04072E-4	1.37887E-2	1.12515E+1	2.13922E-3	6.54658E+2
2.50870E+1	1.54447E-1	2.02043E-4	1.36515E-2	1.13135E+1	2.10844E-3	6.59041E+2
2.58070E+1	1.54378E-1	2.03270E-4	1.37345E-2	1.12402E+1	2.12030E-3	6.53859E+2
2.65280E+1	1.54375E-1	2.03151E-4	1.37264E-2	1.12466E+1	2.11901E-3	6.54309E+2
2.72460E+1	1.54828E-1	2.02678E-4	1.36944E-2	1.13059E+1	2.12028E-3	6.58505E+2
2.79660E+1	1.54930E-1	2.02842E-4	1.37055E-2	1.13042E+1	2.12340E-3	6.58381E+2
2.86860E+1	1.53902E-1	2.03578E-4	1.37553E-2	1.11886E+1	2.11697E-3	6.50213E+2
2.94040E+1	1.54377E-1	2.02811E-4	1.37035E-2	1.12655E+1	2.11550E-3	6.55649E+2
3.01240E+1	1.55022E-1	2.03231E-4	1.37318E-2	1.12893E+1	2.12873E-3	6.57328E+2
3.08440E+1	1.55086E-1	2.03527E-4	1.37518E-2	1.12774E+1	2.13272E-3	6.56492E+2
3.15660E+1	1.54420E-1	2.01822E-4	1.36366E-2	1.13239E+1	2.10577E-3	6.59779E+2
3.22860E+1	1.54037E-1	2.02867E-4	1.37072E-2	1.12377E+1	2.11142E-3	6.53679E+2
3.30060E+1	1.54053E-1	2.02493E-4	1.36820E-2	1.12596E+1	2.10775E-3	6.55229E+2
3.37260E+1	1.54768E-1	2.03874E-4	1.37753E-2	1.12352E+1	2.13197E-3	6.53506E+2
3.44450E+1	1.53770E-1	2.02166E-4	1.36599E-2	1.12571E+1	2.10048E-3	6.55053E+2
3.51630E+1	1.02828E-1	1.02310E-4	6.91286E-3	1.48749E+1	7.10834E-4	9.10817E+2
3.58840E+1	8.73815E-5	5.77603E-7	3.90272E-5	2.23899E+0	3.41026E-9	1.75057E+1
3.68660E+1	4.93393E-5	-2.49387E-8	-1.68505E-6	-2.92807E+1	-8.31391E-11	-2.21082E+3
3.75860E+1	3.50342E-5	1.55177E-6	1.04849E-4	3.34139E-1	3.67331E-9	-1.17160E+2
3.83060E+1	2.89343E-5	8.34292E-7	5.63711E-5	5.13283E-1	1.63106E-9	-1.04495E+2
3.90260E+1	2.14297E-5	1.16980E-6	7.90406E-5	2.71123E-1	1.69382E-9	-1.21615E+2
