u,g,r,i,z,redshift
19.09193,17.86146,17.34277,16.99911,16.792460000000002,0.05496588162857143
19.99864,17.97824,16.97658,16.525479999999998,16.18047,0.11121688200000003
21.3546,19.08551,17.64716,17.130020000000002,16.768629999999998,0.23036565900000003
19.45749,17.71719,16.959120000000002,16.6039,16.345670000000002,0.06335146199999998
19.58866,17.984289999999994,17.23228,16.8559,16.5243,0.07515695
21.48726,19.09873,17.66684,17.10106,16.7712,0.23578862599999997
17.73339,16.71486,16.41702,16.21477,16.1083,0.03883541953333334
17.91927,16.68965,16.26973,15.97756,15.90915,0.03535395333333335
20.7851,18.67885,17.204929999999994,16.64238,16.31031,0.23437919000000007
16.98516,15.77897,15.292370000000002,15.02964,14.79433,0.041007965599999995
20.9155,18.74272,17.33586,16.80656,16.42595,0.21059150333333332
20.22135,18.49881,17.74995,17.347720000000002,17.09464,0.07691051980000001
18.798,17.00021,16.116039999999998,15.66969,15.38644,0.06072072216666669
20.7059,18.93596,17.85924,17.37409,17.01736,0.15020713133333335
19.82934,18.52765,17.70818,17.2778,16.9539,0.12925260900000002
16.774160000000002,15.39927,14.845020000000002,14.564279999999998,14.4361,0.035655814633333345
18.94464,17.90973,17.62769,17.422710000000002,17.346410000000002,0.06110824566666663
20.53677,18.55817,17.4951,16.98721,16.60135,0.13012020733333332
19.05704,17.830779999999994,17.23246,16.83013,16.62528,0.10601395799999999
20.73502,18.58605,17.17311,16.620179999999998,16.252010000000002,0.18679511666666676
20.41964,18.49088,17.69175,17.334220000000002,17.078039999999998,0.07979795300000002
19.28163,17.3575,16.482120000000002,16.08959,15.77293,0.0628239696666667
19.00261,17.49018,16.68834,16.29175,15.97556,0.0897611673333333
20.0543,18.66887,17.824820000000006,17.3808,17.04285,0.14712321600000006
20.86577,18.97923,17.69528,17.218320000000002,16.877489999999998,0.1946770306666667
20.69656,18.68085,17.18477,16.65752,16.301289999999998,0.2373724100000001
20.25999,18.55005,17.50229,17.0524,16.72671,0.1463066983333333
18.28609,17.25774,17.10856,16.82754,16.80196,0.038283129199999995
19.69743,18.48256,17.75529,17.381079999999994,17.11401,0.14538728
19.72105,18.25182,17.48956,17.12856,16.84856,0.07164673199999999
20.58137,18.84329,17.59147,17.059820000000002,16.68552,0.18261667066666665
17.3871,15.88599,15.20823,14.81886,14.552879999999998,0.04137127966666666
20.63813,18.79938,17.684089999999994,17.206870000000002,16.83607,0.15013381333333334
19.20529,18.08887,17.633570000000006,17.349529999999998,17.21025,0.07325100983333334
19.86525,18.26228,17.36386,16.9665,16.59816,0.1065681953333333
