u,g,r,i,z,redshift
19.09193,17.86146,17.34277,16.99911,16.792460000000002,0.07482982
19.99864,17.97824,16.97658,16.525479999999998,16.18047,0.10836464
21.3546,19.08551,17.64716,17.130020000000002,16.768629999999998,0.23082197
19.45749,17.71719,16.959120000000002,16.6039,16.345670000000002,0.06442946
19.58866,17.984289999999994,17.23228,16.8559,16.5243,0.08366406
21.48726,19.09873,17.66684,17.10106,16.7712,0.22974765
17.73339,16.71486,16.41702,16.21477,16.1083,0.032480896
17.91927,16.68965,16.26973,15.97756,15.90915,0.03641796
20.7851,18.67885,17.204929999999994,16.64238,16.31031,0.22469902
16.98516,15.77897,15.292370000000002,15.02964,14.79433,0.025655506
20.9155,18.74272,17.33586,16.80656,16.42595,0.20963323
20.22135,18.49881,17.74995,17.347720000000002,17.09464,0.08605057
18.798,17.00021,16.116039999999998,15.66969,15.38644,0.065084934
20.7059,18.93596,17.85924,17.37409,17.01736,0.1465205
19.82934,18.52765,17.70818,17.2778,16.9539,0.14245152
16.774160000000002,15.39927,14.845020000000002,14.564279999999998,14.4361,0.018968998
18.94464,17.90973,17.62769,17.422710000000002,17.346410000000002,0.049134254
20.53677,18.55817,17.4951,16.98721,16.60135,0.1350308
19.05704,17.830779999999994,17.23246,16.83013,16.62528,0.09249693
20.73502,18.58605,17.17311,16.620179999999998,16.252010000000002,0.20929265
20.41964,18.49088,17.69175,17.334220000000002,17.078039999999998,0.075119436
19.28163,17.3575,16.482120000000002,16.08959,15.77293,0.07070494
19.00261,17.49018,16.68834,16.29175,15.97556,0.0907473
20.0543,18.66887,17.824820000000006,17.3808,17.04285,0.1356569
20.86577,18.97923,17.69528,17.218320000000002,16.877489999999998,0.19056028
20.69656,18.68085,17.18477,16.65752,16.301289999999998,0.23017108
20.25999,18.55005,17.50229,17.0524,16.72671,0.1454916
18.28609,17.25774,17.10856,16.82754,16.80196,0.025124429
19.69743,18.48256,17.75529,17.381079999999994,17.11401,0.12657017
19.72105,18.25182,17.48956,17.12856,16.84856,0.10511792
20.58137,18.84329,17.59147,17.059820000000002,16.68552,0.19809467
17.3871,15.88599,15.20823,14.81886,14.552879999999998,0.034105957
20.63813,18.79938,17.684089999999994,17.206870000000002,16.83607,0.15665829
19.20529,18.08887,17.633570000000006,17.349529999999998,17.21025,0.07741308
19.86525,18.26228,17.36386,16.9665,16.59816,0.117886186
20.36534,18.52814,17.55111,17.1481,16.7843,0.11742371
20.31131,18.15814,17.11329,16.62061,16.24995,0.11894739
18.15538,16.939329999999998,16.32726,16.0103,15.7642,0.06544393
19.17383,18.09209,17.64301,17.310489999999998,17.18074,0.082941055
19.924570000000006,18.27165,17.49309,17.10824,16.82705,0.09206027
18.24259,17.36986,17.02092,16.688670000000002,16.65718,0.07249546
19.95727,18.481720000000006,17.57218,17.11346,16.86693,0.14329058
19.92024,18.38158,17.51184,17.10555,16.85693,0.12414253
18.30308,17.10613,16.466839999999998,16.08553,15.865429999999998,0.07653296
20.37375,18.46297,17.37472,16.953670000000002,16.58168,0.1385876
19.66902,17.59093,16.57689,16.144660000000002,15.79646,0.10297918
18.72385,16.81796,15.9603,15.56801,15.235129999999998,0.057297587
19.5365,18.21826,17.645220000000005,17.338070000000002,17.11447,0.08240396
19.11804,18.04995,17.43017,17.061770000000006,16.83606,0.114886224
20.24288,18.16171,17.02618,16.56425,16.20864,0.14004898
17.94776,16.44783,15.75335,15.36832,15.08884,0.046278358
18.22668,16.95597,16.62059,16.3721,16.179679999999998,0.020223496
18.58451,17.42737,16.89741,16.581979999999998,16.37131,0.072422266
19.54329,17.52127,16.47205,16.03888,15.669620000000002,0.1118871
18.28974,16.76994,16.10378,15.76202,15.55498,0.047496974
18.66453,17.42393,16.94676,16.606189999999998,16.45092,0.055938244
19.95781,18.25558,17.48539,17.11926,16.85318,0.08435637
20.57999,18.47598,17.36956,16.91271,16.54014,0.13837272
19.90408,18.42724,17.67933,17.316879999999998,17.056820000000002,0.106529415
20.19501,18.2661,17.3522,16.94415,16.60258,0.09486127
16.74051,14.95811,14.158829999999998,13.76954,13.54142,0.029634712
19.55814,17.58734,16.66687,16.2273,15.90935,0.08427864
20.05618,18.25275,17.36965,16.90154,16.54358,0.09987414
19.60442,18.21461,17.44011,17.022660000000002,16.77433,0.11812174
19.23708,18.0091,17.20243,16.82026,16.55038,0.13209611
18.92143,17.75646,17.25927,16.96886,16.74695,0.0712024
20.61788,18.56745,17.462239999999998,17.0161,16.5811,0.1426537
19.24633,17.26227,16.36272,15.95336,15.61193,0.07620746
19.95059,18.17248,17.230629999999998,16.809060000000002,16.5091,0.10874426
19.57495,18.24378,17.53686,17.076529999999998,16.80325,0.11480588
20.55576,18.53313,17.37629,16.92616,16.53755,0.15308905
19.61989,17.74941,16.86188,16.46818,16.12878,0.08188933
19.33312,18.13547,17.55842,17.21634,17.02604,0.09548575
20.3843,18.54354,17.405520000000006,16.939429999999998,16.60484,0.15487826
19.58088,18.07849,17.28295,16.85128,16.56679,0.1079101
20.95221,18.64669,17.48413,17.01347,16.66104,0.14850366
19.01155,17.08524,16.27855,15.91067,15.589720000000002,0.05619347
20.13005,18.36588,17.335079999999998,16.825960000000002,16.353279999999998,0.13798249
20.33832,18.65023,17.77024,17.36775,17.085910000000002,0.11304474
20.82754,18.78767,17.57272,17.09451,16.72634,0.16969466
19.37241,17.621760000000005,16.76266,16.36346,16.06921,0.0814783
20.67228,18.81269,17.567729999999994,17.073629999999998,16.71554,0.18391138
18.90059,18.08895,17.74606,17.59742,17.491870000000002,0.0805465
18.56591,17.34357,16.8953,16.59194,16.44441,0.049750686
18.89064,17.59512,16.88976,16.52228,16.24305,0.09590185
19.74187,17.963729999999995,17.07864,16.66175,16.33943,0.09273964
19.58678,18.1562,17.52467,17.17975,16.94582,0.082615376
19.45568,17.84665,17.08792,16.698710000000002,16.43621,0.08269864
20.94204,19.18756,17.70942,17.15439,16.68538,0.23699331
18.95881,17.08734,16.20737,15.76325,15.443220000000002,0.068932295
19.59875,17.83952,16.87986,16.378410000000002,15.98913,0.11013794
19.17712,18.06049,17.497320000000002,17.13026,16.89425,0.100008965
19.99676,17.97508,16.97474,16.53014,16.145429999999998,0.109015584
18.73026,17.58725,17.1469,16.81542,16.6327,0.062009394
18.87795,17.38308,16.61531,16.14276,15.77188,0.086701155
21.62263,19.00489,17.72508,17.434420000000006,17.01591,0.18838835
19.60987,17.82515,16.90492,16.440929999999998,16.13031,0.0980652
19.86673,18.18567,17.417270000000002,17.05799,16.77261,0.083673716
18.20461,16.59096,15.80656,15.42365,15.11246,0.051838577
