u,g,r,i,z,redshift
19.09193,17.86146,17.34277,16.99911,16.792460000000002,0.05922549346666664
19.99864,17.97824,16.97658,16.525479999999998,16.18047,0.11553883666666673
21.3546,19.08551,17.64716,17.130020000000002,16.768629999999998,0.22971211999999994
19.45749,17.71719,16.959120000000002,16.6039,16.345670000000002,0.07091942230952379
19.58866,17.984289999999994,17.23228,16.8559,16.5243,0.07823816266666667
21.48726,19.09873,17.66684,17.10106,16.7712,0.23676700333333328
17.73339,16.71486,16.41702,16.21477,16.1083,0.04871129253333334
17.91927,16.68965,16.26973,15.97756,15.90915,0.029458064000000016
20.7851,18.67885,17.204929999999994,16.64238,16.31031,0.23361692999999994
16.98516,15.77897,15.292370000000002,15.02964,14.79433,0.036151404799999995
20.9155,18.74272,17.33586,16.80656,16.42595,0.20806328666666665
20.22135,18.49881,17.74995,17.347720000000002,17.09464,0.09329149646666664
18.798,17.00021,16.116039999999998,15.66969,15.38644,0.05587339783333333
20.7059,18.93596,17.85924,17.37409,17.01736,0.15523912199999995
19.82934,18.52765,17.70818,17.2778,16.9539,0.13393962200000004
16.774160000000002,15.39927,14.845020000000002,14.564279999999998,14.4361,0.030646192433333344
18.94464,17.90973,17.62769,17.422710000000002,17.346410000000002,0.07063335999999998
20.53677,18.55817,17.4951,16.98721,16.60135,0.13272220133333332
19.05704,17.830779999999994,17.23246,16.83013,16.62528,0.098396846
20.73502,18.58605,17.17311,16.620179999999998,16.252010000000002,0.18418487666666666
20.41964,18.49088,17.69175,17.334220000000002,17.078039999999998,0.08907718799999997
19.28163,17.3575,16.482120000000002,16.08959,15.77293,0.0651035442
19.00261,17.49018,16.68834,16.29175,15.97556,0.09197751833333333
20.0543,18.66887,17.824820000000006,17.3808,17.04285,0.15372555133333338
20.86577,18.97923,17.69528,17.218320000000002,16.877489999999998,0.19077658666666672
20.69656,18.68085,17.18477,16.65752,16.301289999999998,0.23131342666666668
20.25999,18.55005,17.50229,17.0524,16.72671,0.14465329799999996
18.28609,17.25774,17.10856,16.82754,16.80196,0.04499971400000002
